"Survived","Name"
0,"Braund, Mr. Owen Harris"
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
1,"Heikkinen, Miss. Laina"
1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
0,"Allen, Mr. William Henry"
0,"McCarthy, Mr. Timothy J"
0,"Palsson, Master. Gosta Leonard"
1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
1,"Nasser, Mrs. Nicholas (Adele Achem)"
1,"Sandstrom, Miss. Marguerite Rut"
1,"Bonnell, Miss. Elizabeth"
0,"Saundercock, Mr. William Henry"
0,"Andersson, Mr. Anders Johan"
0,"Vestrom, Miss. Hulda Amanda Adolfina"
1,"Hewlett, Mrs. (Mary D Kingcome) "
0,"Rice, Master. Eugene"
0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
0,"Fynney, Mr. Joseph J"
1,"Beesley, Mr. Lawrence"
1,"McGowan, Miss. Anna ""Annie"""
1,"Sloper, Mr. William Thompson"
0,"Palsson, Miss. Torborg Danira"
1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
0,"Fortune, Mr. Charles Alexander"
0,"Uruchurtu, Don. Manuel E"
0,"Wheadon, Mr. Edward H"
0,"Meyer, Mr. Edgar Joseph"
0,"Holverson, Mr. Alexander Oskar"
0,"Cann, Mr. Ernest Charles"
0,"Vander Planke, Miss. Augusta Maria"
1,"Nicola-Yarred, Miss. Jamila"
0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
1,"Laroche, Miss. Simonne Marie Anne Andree"
1,"Devaney, Miss. Margaret Delia"
0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
0,"Panula, Master. Juha Niilo"
0,"Nosworthy, Mr. Richard Cater"
1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
0,"Ostby, Mr. Engelhart Cornelius"
1,"Rugg, Miss. Emily"
0,"Novel, Mr. Mansouer"
1,"West, Miss. Constance Mirium"
